symbol,name_english,name_arabic,isin,exchange,country,country_code,sector_code,sector_name_english,sector_name_arabic,market_code,instrument_type,status,logo_url
CHHK,Lunate S&P China HK Shariah ETF,صندوق لونيت ستاندرد اند بورز الصين هونغ كونغ شريعة المتداول ,AEC01272C239,ADX,United Arab Emirates,AE,0,Other,آخر,515,Fund,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/5021948
DANA,DANA GAS PJSC,دانة غاز,AED000701014,ADX,United Arab Emirates,AE,8,Energy,الطاقة,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/950670
DHAFRA,Al Dhafra Insurance Co,شركة الظفرة للتأمين,AEA000601012,ADX,United Arab Emirates,AE,1,Financials,المالية,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/992722
E7,E7 Group PJSC,مجموعة اي 7,AEE01073A225,ADX,United Arab Emirates,AE,6,Industrial,الصناعات,610,SPAC Share,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/2536741
E7W,E7 Group PJSC Warrants,مجموعة اي 7 - اﻷذونات,AER01074A228,ADX,United Arab Emirates,AE,6,Industrial,الصناعات,611,SPAC Warrant,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/2536741
EAND,Emirates Telecom. Group Company (Etisalat Group) PJSC,شركة مجموعة اﻻمارات لﻼتصاﻻت(مجموعةاتصاﻻت)ش م ع,AEE000401019,ADX,United Arab Emirates,AE,9,Telecommunication,الاتصالات,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/951112
EASYLEASE,Easy Lease Motorcycle Rental PJSC,ايزي ليس لتأجير الدراجات النارية ش م خ,AEE002801018,ADX,United Arab Emirates,AE,6,Industrial,الصناعات,517,Preference,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/2231101
EIC,Emirates Insurance Co,شركة اﻻمارات للتأمين,AEE000101015,ADX,United Arab Emirates,AE,1,Financials,المالية,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/951444
EMOBILITY,Emirates Mobility Company,شركة الإمارات للتنقل,AEE000601014,ADX,United Arab Emirates,AE,13,Consumer Discretionary,السلع الاستهلاكية التقديرية,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4865088
EMSTEEL,EMSTEEL BUILDING MATERIALS PJSC,امستيل لمواد البناء ش  م ع,AEA002801016,ADX,United Arab Emirates,AE,6,Industrial,الصناعات,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/951436
ESG,ESG EMIRATES STALLIONS GROUP P.J.S.C,اي اس جي ستاليونز اﻻ مارات,AEE002901016,ADX,United Arab Emirates,AE,6,Industrial,الصناعات,517,Preference,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/2338745
ESHRAQ,ESHRAQ INVESTMENTS P.J.S.C,شركة اشراق لﻼستثمار,AEE000901018,ADX,United Arab Emirates,AE,5,Real Estate,العقارات,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/950771
FAB,First Abu Dhabi Bank,بنك أبوظبي اﻷول,AEN000101016,ADX,United Arab Emirates,AE,1,Financials,المالية,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/992725
FBI,Fujairah Building Industries P.S.C,شركه الفجيرة لصناعات البناء ش.م.ع,AEF000501013,ADX,United Arab Emirates,AE,6,Industrial,الصناعات,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/992723
FCI,Fujairah Cement Industries,صناعات اسمنت الفجيرة,AEF000301018,ADX,United Arab Emirates,AE,6,Industrial,الصناعات,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/1066689
FERTIGLB,Fertiglobe plc,شركة فيرتيغلوب ش.ع.م,AEF000901015,ADX,United Arab Emirates,AE,12,Basic Materials,المواد الأساسية,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/2422136
FH,Finance House,دار التمويل,AEF000401016,ADX,United Arab Emirates,AE,1,Financials,المالية,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/951445
FIDELITYUNITED,United Fidelity Insurance Company (P.S.C),(شركةالتأمين فيدلتي المتحدة (ش .م.ع,AEU000301017,ADX,United Arab Emirates,AE,1,Financials,المالية,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/1081291
FIDELITYUNITEDRI25,FIDELITYUNITED Rights Issue 2025,حقوق اكتتاب أسهم فيدليتي المتحدة للتأمين 2025,AER01799F252,ADX,United Arab Emirates,AE,1,Financials,المالية,510,Equity,Delisted,https://apigateway.adx.ae/adx/cdn/1.0/content/download/1081291
FNF,FOODCO NATIONAL FOODSTUFF PrJSC,فودكو الوطنية للمواد الغذائية ش م خ,AEF000701019,ADX,United Arab Emirates,AE,3,Consumer Staples,السلع الاستهـلاكية,517,Preference,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/2259222
GCCDIV,Lunate Solactive GCC Shariah Dividend ETF,صندوق لونيت سولاكتيف الخليجي شريعة لتوزيعات الأرباح المتداول ,AEC01930C265,ADX,United Arab Emirates,AE,0,Other,آخر,515,Fund,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/5021948
GCEM,Gulf Cement Co,شركة اسمنت الخليج,AEG000101010,ADX,United Arab Emirates,AE,6,Industrial,الصناعات,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/1077343
GFH,GFH Bank B.S.C.,بنك جي اف اتش ش.م.ب.,BH000A0CAQK6,ADX,United Arab Emirates,AE,1,Financials,المالية,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/2470656
GHITHA,GHITHA HOLDING P.J.S.C,غذاء القابضة ش .م.خ,AEZ000101010,ADX,United Arab Emirates,AE,3,Consumer Staples,السلع الاستهـلاكية,517,Preference,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/2244770
GIH,Gulf Investment House Company,شركة بيت اﻻ ستثمار الخليجي,KW0EQ0200760,ADX,United Arab Emirates,AE,1,Financials,المالية,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/2688430
GMPC,Gulf Medical Projects Company,شركة الخليج للمشاريع الطبية,AEG000401014,ADX,United Arab Emirates,AE,11,Health Care,الرعاية الصحية,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/1066690
GRMNY,Lunate S&P Germany UCITS ETF,صندوق لونيت ستاندرد اند بورز المانيا يوسيتس المتداول,IE000EK4H397,ADX,United Arab Emirates,AE,0,Other,آخر,515,Fund,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/5021948
HAYAH,Hayah Insurance Company P.J.S.C,شركة حياه للتأمين ش.م.ع,AEG000801015,ADX,United Arab Emirates,AE,1,Financials,المالية,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/950672
